iter	Passed	Remaining
590	1436	994
591	1439	991
592	1441	989
593	1444	987
594	1447	985
595	1449	982
596	1452	980
597	1454	977
598	1456	975
599	1458	972
600	1461	970
601	1463	967
602	1466	965
603	1468	962
604	1470	960
605	1472	957
606	1475	955
607	1477	952
608	1480	950
609	1482	947
610	1484	945
611	1487	942
612	1489	940
613	1491	937
614	1493	935
615	1495	932
616	1497	929
617	1499	926
618	1501	924
619	1504	922
620	1506	919
621	1509	917
622	1512	914
623	1514	912
624	1516	910
625	1519	907
626	1521	905
627	1523	902
628	1526	900
629	1528	897
630	1530	895
631	1533	892
632	1535	890
633	1537	887
634	1540	885
635	1542	882
636	1544	880
637	1546	877
638	1548	874
639	1550	872
640	1553	870
641	1556	867
642	1558	865
643	1561	863
644	1564	860
645	1566	858
646	1569	856
647	1571	853
648	1573	851
649	1575	848
650	1578	846
651	1581	843
652	1584	841
653	1586	839
654	1589	837
655	1591	834
656	1593	832
657	1596	829
658	1598	827
659	1600	824
660	1603	822
661	1605	819
662	1607	817
663	1609	814
664	1612	812
665	1614	809
666	1616	807
667	1619	804
668	1621	802
669	1623	799
670	1626	797
671	1628	794
672	1630	792
673	1633	790
674	1635	787
675	1638	785
676	1640	782
677	1643	780
678	1645	778
679	1648	775
680	1650	773
681	1652	770
682	1655	768
683	1657	765
684	1660	763
685	1662	760
686	1664	758
687	1666	755
688	1669	753
689	1671	751
690	1674	748
691	1676	746
692	1678	743
693	1681	741
694	1683	738
695	1685	736
696	1687	733
697	1689	731
698	1692	728
699	1694	726
700	1696	723
701	1698	721
702	1700	718
703	1703	716
704	1705	713
705	1707	710
706	1710	708
707	1712	706
708	1715	703
709	1717	701
710	1720	699
711	1722	696
712	1724	694
713	1727	691
714	1729	689
715	1731	686
716	1733	684
717	1735	681
718	1737	678
719	1739	676
720	1742	674
721	1744	671
722	1746	669
723	1749	666
724	1751	664
725	1753	661
726	1756	659
727	1758	657
728	1761	654
729	1763	652
730	1765	649
731	1767	647
732	1769	644
733	1772	642
734	1774	639
735	1777	637
736	1779	634
737	1781	632
738	1783	629
739	1786	627
740	1788	625
741	1790	622
742	1792	620
743	1794	617
744	1796	615
745	1798	612
746	1801	610
747	1803	607
748	1805	605
749	1807	602
750	1810	600
751	1812	597
752	1814	595
753	1817	592
754	1819	590
755	1821	587
756	1823	585
757	1826	583
758	1828	580
759	1830	578
760	1832	575
761	1834	573
762	1837	570
763	1839	568
764	1841	565
765	1844	563
766	1846	560
767	1848	558
768	1850	555
769	1853	553
770	1855	551
771	1857	548
772	1860	546
773	1862	543
774	1865	541
775	1867	539
776	1869	536
777	1871	534
778	1874	531
779	1875	529
780	1878	526
781	1880	524
782	1883	521
783	1885	519
784	1887	517
785	1890	514
786	1892	512
787	1895	509
788	1897	507
789	1899	505
790	1901	502
791	1904	500
792	1906	497
793	1908	495
794	1910	492
795	1912	490
796	1915	487
797	1917	485
798	1920	483
799	1922	480
800	1924	478
801	1926	475
802	1929	473
803	1930	470
804	1933	468
805	1935	465
806	1937	463
807	1939	460
808	1942	458
809	1944	456
810	1946	453
811	1949	451
812	1951	448
813	1953	446
814	1955	443
815	1958	441
816	1960	439
817	1962	436
818	1965	434
819	1967	431
820	1969	429
821	1972	427
822	1974	424
823	1976	422
824	1978	419
825	1980	417
826	1983	414
827	1985	412
828	1987	410
829	1990	407
830	1992	405
831	1994	402
832	1997	400
833	1999	398
834	2001	395
835	2005	393
836	2007	390
837	2010	388
838	2012	386
839	2014	383
840	2016	381
841	2019	378
842	2021	376
843	2023	374
844	2026	371
845	2028	369
846	2030	366
847	2032	364
848	2034	361
849	2036	359
850	2039	357
851	2041	354
852	2044	352
853	2046	349
854	2048	347
855	2051	345
856	2053	342
857	2056	340
858	2058	337
859	2061	335
860	2063	333
861	2065	330
862	2068	328
863	2070	325
864	2072	323
865	2075	321
866	2077	318
867	2079	316
868	2081	313
869	2084	311
870	2086	309
871	2088	306
872	2090	304
873	2092	301
874	2094	299
875	2097	296
876	2100	294
877	2102	292
878	2105	289
879	2107	287
880	2109	284
881	2111	282
882	2114	280
883	2117	277
884	2119	275
885	2121	272
886	2123	270
887	2126	268
888	2128	265
889	2131	263
890	2133	261
891	2135	258
